_id,block,answer,correct,scaffold,question,scenario,graph,condition,session,experiment,subject,time_elapsed,trial_index,rt,rt_sec,q_order
"ObjectId(""58e45befd46cc6fa347e4c8a"")",triangular_testing,GO,1,none,contain+duration,longmire,triangular,0,mike,reverse,7L5E7,733360,15,20887,21,11
"ObjectId(""58e45befd46cc6fa347e4c8b"")",triangular_testing,KL,1,none,during+overlap,longmire,triangular,0,mike,reverse,7L5E7,771928,16,37317,37,12
"ObjectId(""58e45befd46cc6fa347e4c8c"")",triangular_testing,BCDFGHIJKLO,0,none,during,longmire,triangular,0,mike,reverse,7L5E7,854036,17,80831,81,13
"ObjectId(""58e45befd46cc6fa347e4c8d"")",triangular_testing,C,1,none,starts+finishes,longmire,triangular,0,mike,reverse,7L5E7,889237,18,33793,34,14
"ObjectId(""58e45befd46cc6fa347e4c8e"")",triangular_testing,45,1,none,finishes,longmire,triangular,0,mike,reverse,7L5E7,916056,19,25568,26,15
"ObjectId(""58e45befd46cc6fa347e4c8f"")",linear_scaffolded,HO,1,none,start,axis,linear,0,mike,reverse,7L5E7,957120,21,23506,24,1
"ObjectId(""58e45befd46cc6fa347e4c90"")",linear_scaffolded,4,1,none,end,axis,linear,0,mike,reverse,7L5E7,967386,22,9015,9,2
"ObjectId(""58e45befd46cc6fa347e4c91"")",linear_scaffolded,ACEFGHIKL,1,none,duration,axis,linear,0,mike,reverse,7L5E7,1009554,23,40918,41,3
"ObjectId(""58e45befd46cc6fa347e4c92"")",linear_scaffolded,8,1,none,midpoint,axis,linear,0,mike,reverse,7L5E7,1029500,24,18696,19,4
"ObjectId(""58e45befd46cc6fa347e4c93"")",linear_scaffolded,7,1,none,start+overlap,axis,linear,0,mike,reverse,7L5E7,1057018,25,26266,26,5
"ObjectId(""58e45befd46cc6fa347e4c94"")",linear_testing,ABCEFJ,0,none,overlap+overlap,axis,linear,0,mike,reverse,7L5E7,1089096,26,30833,31,6
"ObjectId(""58e45befd46cc6fa347e4c95"")",linear_testing,G,1,none,starts+finishes,axis,linear,0,mike,reverse,7L5E7,1100623,27,10275,10,7
"ObjectId(""58e45befd46cc6fa347e4c96"")",linear_testing,FGMO,0,none,meets,axis,linear,0,mike,reverse,7L5E7,1145619,28,43748,44,8
"ObjectId(""58e45befd46cc6fa347e4c97"")",linear_testing,A,1,none,during+overlap,axis,linear,0,mike,reverse,7L5E7,1178277,29,31408,31,9
"ObjectId(""58e45befd46cc6fa347e4c98"")",linear_testing,FGMO,1,none,before+overlap,axis,linear,0,mike,reverse,7L5E7,1215912,30,36388,36,10
"ObjectId(""58e45befd46cc6fa347e4c99"")",linear_testing,6,1,none,starts,axis,linear,0,mike,reverse,7L5E7,1252701,31,35547,36,11
"ObjectId(""58e45befd46cc6fa347e4c9a"")",linear_testing,GO,1,none,finishes,axis,linear,0,mike,reverse,7L5E7,1269411,32,15465,15,12
"ObjectId(""58e45befd46cc6fa347e4c9b"")",linear_testing,DNO,0,none,contain+duration,axis,linear,0,mike,reverse,7L5E7,1302480,33,31813,32,13
"ObjectId(""58e45befd46cc6fa347e4c9c"")",linear_testing,FMO,1,none,during,axis,linear,0,mike,reverse,7L5E7,1334660,34,30933,31,14
"ObjectId(""58e45befd46cc6fa347e4c9d"")",linear_testing,9,1,none,start+duration,axis,linear,0,mike,reverse,7L5E7,1359259,35,23352,23,15
"ObjectId(""58e45befd46cc6fa347e4c9f"")",drawingTest,C1,1,none,duration,jones,none,0,mike,reverse,7L5E7,1894213,38,72341,72,
"ObjectId(""58e45befd46cc6fa347e4ca0"")",drawingTest,Chris3-4pm,1,none,overlap,jones,none,0,mike,reverse,7L5E7,1926221,39,30666,31,
"ObjectId(""58e45befd46cc6fa347e4ca1"")",triangular_scaffolded,CDL,1,show-static,start,longmire,triangular,3,mike,reverse,GQN1V,321599,5,55144,55,1
"ObjectId(""58e45befd46cc6fa347e4ca2"")",triangular_scaffolded,HJKLMNO,1,show-static,end,longmire,triangular,3,mike,reverse,GQN1V,468869,6,146016,146,2
"ObjectId(""58e45befd46cc6fa347e4ca3"")",triangular_scaffolded,GO,1,show-static,duration,longmire,triangular,3,mike,reverse,GQN1V,478829,7,8559,9,3
"ObjectId(""58e45befd46cc6fa347e4ca4"")",triangular_scaffolded,1,1,show-static,midpoint,longmire,triangular,3,mike,reverse,GQN1V,518502,8,38417,38,4
"ObjectId(""58e45befd46cc6fa347e4ca5"")",triangular_scaffolded,A,1,show-static,start+overlap,longmire,triangular,3,mike,reverse,GQN1V,544854,9,25104,25,5
"ObjectId(""58e45befd46cc6fa347e4ca6"")",triangular_testing,68,1,none,starts,longmire,triangular,3,mike,reverse,GQN1V,618311,10,72209,72,6
"ObjectId(""58e45befd46cc6fa347e4ca7"")",triangular_testing,L,0,none,during+overlap,longmire,triangular,3,mike,reverse,GQN1V,688996,11,69291,69,7
