dbid,subject,experiment,session,condition,lm_scenarios,tm_scenarios,ls_n,lt_n,ts_n,tt_n,d_n,ls_t,lt_t,ts_t,tt_t,d_t,d_t_2,linear_time,triangular_time,draw_time,totalTime,LM_T_M,TM_T_M,DT_T_M,TOTAL_T_M,DIFF_T_M,linear_score,triangular_score,score_diff,time_diff,totalScore,AGE,COUNTRY,LANGUAGE,EDUCATION,MAJOR,GENDER,PREFERENCE,FLAG
58e45f47d46cc6fa347ea5e2,AUN52,experiment,bravo,3,axis,longmire,4,5,5,8,2,132471,364354,177567,281978,84654,591395,496825,459545,676049,1923215,8.28,7.66,11.27,32.05,0.62,9,13,4,37280,24,21,China,Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45f47d46cc6fa347ea5e3,Q3HE8,reverse,bravo,0,longmire,axis,5,9,2,7,1,122060,387635,400212,675529,109302,740048,509695,1075741,849350,2849603,8.49,17.93,14.16,47.49,-9.43,14,9,-5,-566046,24,22,China,Mandarin or Cantonese,Fourth,Biomedical & Health Sciences,Female,the first one (linear,
58e45f47d46cc6fa347ea5e5,TGAU4,experiment,bravo,0,longmire,axis,3,7,1,0,1,129790,601412,255442,336158,166200,542180,731202,591600,708380,2328840,12.19,9.86,11.81,38.81,2.33,10,1,-9,139602,12,21,USA,Spanish,Fourth,Math or Computer Sciences,Female,the first one (linear,
58e45f47d46cc6fa347ea5e6,Y7TQD,reverse,bravo,3,longmire,axis,3,4,3,5,0,111740,382926,196377,323742,59206,503196,494666,520119,562402,1813759,8.24,8.67,9.37,30.23,-0.42,7,8,1,-25453,15,19,USA,English,Third,Biomedical & Health Sciences,Female,the second one (triangular),
58e45f47d46cc6fa347ea5e8,WYGTA,reverse,bravo,3,longmire,axis,4,8,2,5,1,144126,360669,164853,316564,519001,131484,504795,481417,650485,2033550,8.41,8.02,10.84,33.89,0.39,12,7,-5,23378,20,21,USA,English,Third,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45f47d46cc6fa347ea5e9,1592P,reverse,bravo,2,axis,longmire,5,9,4,7,1,132153,289693,237219,405558,312313,789486,421846,642777,1101799,2458631,7.03,10.71,18.36,40.98,-3.68,14,11,-3,-220931,26,19,China,Mandarin or Cantonese,First,Math or Computer Sciences,Female,the second one (triangular),
58e45eadd46cc6fa347e9e59,1ENZF,experiment,charlie,3,longmire,axis,4,9,0,5,1,145373,416336,305176,269125,182103,577811,561709,574301,759914,2432776,9.36,9.57,12.67,40.55,-0.21,13,5,-8,-12592,19,21,USA,Mandarin or Cantonese,Fourth,Biomedical & Health Sciences,Female,the first one (linear,
58e45eadd46cc6fa347e9e5a,UKKNJ,reverse,charlie,0,longmire,axis,5,8,1,7,1,113678,399418,313667,431244,505476,42392,513096,744911,547868,2329340,8.55,12.42,9.13,38.82,-3.86,13,8,-5,-231815,22,19,USA,English,Second,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45eadd46cc6fa347e9e5f,WUQMM,reverse,charlie,2,axis,longmire,5,6,3,9,2,145342,312988,335384,348567,77259,817617,458330,683951,894876,2593594,7.64,11.40,14.91,43.23,-3.76,11,12,1,-225621,25,20,Sri Lanka,English,Third,Biomedical & Health Sciences,Female,the second one (triangular),
58e45eadd46cc6fa347e9e60,OZWVZ,reverse,charlie,3,longmire,axis,5,5,0,1,1,119206,307767,307842,462330,126074,423877,426973,770172,549951,2307572,7.12,12.84,9.17,38.46,-5.72,10,1,-9,-343199,12,30,Korea,Other,Fourth,Fine Arts,Male,the second one (triangular),
58e45eadd46cc6fa347e9e61,DZ413,reverse,charlie,2,axis,longmire,3,6,2,1,1,229865,298062,168153,754817,87280,527171,527927,922970,614451,2806047,8.80,15.38,10.24,46.77,-6.58,9,3,-6,-395043,13,19,USA,English,Second,Biomedical & Health Sciences,Female,the first one (linear,
58e45eadd46cc6fa347e9e62,8UFM6,reverse,charlie,0,longmire,axis,4,7,3,3,1,98072,465366,225307,282869,513921,247170,563438,508176,761091,2244545,9.39,8.47,12.68,37.41,0.92,11,6,-5,55262,18,20,China,Mandarin or Cantonese,Second,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45eadd46cc6fa347e9e63,T8OEA,reverse,charlie,0,longmire,axis,3,6,1,1,0,126349,472693,215449,500517,14592,963379,599042,715966,977971,2771793,9.98,11.93,16.30,46.20,-1.95,9,2,-7,-116924,11,24,USA,Spanish,Third,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45eadd46cc6fa347e9e64,GEDKA,reverse,charlie,3,longmire,axis,4,9,3,9,2,130543,344149,124534,302877,662790,88748,474692,427411,751538,2185466,7.91,7.12,12.53,36.42,0.79,13,12,-1,47281,27,20,China,Mandarin or Cantonese,Second,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45eadd46cc6fa347e9e66,E1YEU,experiment,charlie,3,longmire,axis,4,4,0,4,0,151244,459893,226316,328928,521230,193388,611137,555244,714618,2341864,10.19,9.25,11.91,39.03,0.93,8,4,-4,55893,12,17,USA,English,Second,Biomedical & Health Sciences,Female,the first one (linear,
58e45eadd46cc6fa347e9e67,MMVNP,reverse,charlie,3,longmire,axis,3,4,0,1,0,111759,365167,236672,407354,109830,516442,476926,644026,626272,2220700,7.95,10.73,10.44,37.01,-2.79,7,1,-6,-167100,8,19,Korea,Other,First,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45eadd46cc6fa347e9e68,6T9O9,experiment,charlie,2,longmire,axis,5,8,3,9,2,103450,385941,214890,241539,76750,500211,489391,456429,576961,1983076,8.16,7.61,9.62,33.05,0.55,13,12,-1,32962,27,18,USA,Other,First,Biomedical & Health Sciences,Female,the first one (linear,
58e45eadd46cc6fa347e9e69,WKKMG,experiment,charlie,2,longmire,axis,4,8,1,0,1,135190,370858,182948,371731,224342,375129,506048,554679,599471,2166739,8.43,9.24,9.99,36.11,-0.81,12,1,-11,-48631,14,21,USA,English,Third,Math or Computer Sciences,Female,the first one (linear,
58e45eadd46cc6fa347e9e6a,X309N,experiment,charlie,3,longmire,axis,4,7,5,10,1,145449,712987,204583,396216,221723,629081,858436,600799,850804,2735413,14.31,10.01,14.18,45.59,4.29,11,15,4,257637,27,18,USA,English,First,Fine Arts,Female,the second one (triangular),
58e45eadd46cc6fa347e9e6b,QEHR1,reverse,charlie,2,longmire,axis,4,4,1,4,2,96103,418957,233817,349219,102199,348020,515060,583036,450219,2041610,8.58,9.72,7.50,34.03,-1.13,8,5,-3,-67976,15,18,USA,English,First,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45eadd46cc6fa347e9e6c,B7CJ3,reverse,charlie,3,longmire,axis,4,4,1,0,0,107634,321124,121967,347333,72450,765484,428758,469300,837934,2230762,7.15,7.82,13.97,37.18,-0.68,8,1,-7,-40542,9,22,Philippines,Other,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular),
58e45eadd46cc6fa347e9e6d,UWWFF,experiment,charlie,0,longmire,axis,3,4,4,6,2,119121,275488,141251,176318,101999,574094,394609,317569,676093,1756500,6.58,5.29,11.27,29.28,1.28,7,10,3,77040,19,23,China,Mandarin or Cantonese,Fourth,Natural Sciences,Female,the second one (triangular),
58e45e88d46cc6fa347e9790,1Y39Q,experiment,delta,2,axis,longmire,4,7,3,4,0,208871,537416,267185,430510,655200,228909,746287,697695,884109,3139682,12.44,11.63,14.74,52.33,0.81,11,7,-4,48592,18,29,China,Mandarin or Cantonese,Fifth,Social Sciences (incl. CogSci),Female,the second one (triangular),
58e45e88d46cc6fa347e9791,OQWZ1,reverse,delta,0,longmire,axis,4,8,2,7,1,129068,319840,240325,373193,242485,920960,448908,613518,1163445,2473946,7.48,10.23,19.39,41.23,-2.74,12,9,-3,-164610,22,22,China,Mandarin or Cantonese,Third,Math or Computer Sciences,Male,the first one (linear,
58e45e88d46cc6fa347e9792,X3K4N,reverse,delta,2,longmire,axis,4,5,1,0,0,147944,609497,196689,516331,567030,68424,757441,713020,635454,3314636,12.62,11.88,10.59,55.24,0.74,9,1,-8,44421,10,19,USA,English,Second,Humanities,Female,the first one (linear,
58e45e88d46cc6fa347e9793,BAC71,reverse,delta,3,longmire,axis,4,8,1,0,1,139603,398438,230466,471089,156602,608369,538041,701555,764971,2749690,8.97,11.69,12.75,45.83,-2.73,12,1,-11,-163514,14,20,USA,English,Third,Social Sciences (incl. CogSci),Female,the second one (triangular),
58e45e88d46cc6fa347e9794,192S2,reverse,delta,3,axis,longmire,4,7,2,0,2,165661,237170,120771,445369,113303,857402,402831,566140,970705,2808931,6.71,9.44,16.18,46.82,-2.72,11,2,-9,-163309,15,20,USA,Spanish,Third,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45e88d46cc6fa347e9796,JE4L8,experiment,delta,3,longmire,axis,4,9,4,9,2,93738,335385,149287,318924,80029,771143,429123,468211,851172,2082716,7.15,7.80,14.19,34.71,-0.65,13,13,0,-39088,28,22,Australia,Mandarin or Cantonese,Fifth,Social Sciences (incl. CogSci),Male,the second one (triangular),
58e45e88d46cc6fa347e9797,DRWFW,experiment,delta,3,axis,longmire,5,10,4,10,2,180947,393374,111402,325970,94795,512361,574321,437372,607156,2714978,9.57,7.29,10.12,45.25,2.28,15,14,-1,136949,31,20,Brazil,Other,Third,Engineering,Female,the second one (triangular),
58e45e88d46cc6fa347e9798,93LO6,reverse,delta,2,longmire,axis,5,7,1,8,1,197664,459081,453364,379191,465736,532799,656745,832555,998535,3221835,10.95,13.88,16.64,53.70,-2.93,12,9,-3,-175810,22,18,USA,English,First,Humanities,Female,the first one (linear,
58e45e88d46cc6fa347e979a,WA9MH,reverse,delta,2,axis,longmire,4,8,2,1,1,128381,261839,219049,595603,94214,984765,390220,814652,1078979,3016830,6.50,13.58,17.98,50.28,-7.07,12,3,-9,-424432,16,20,USA,English,Second,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45e88d46cc6fa347e979b,JO52X,reverse,delta,0,longmire,axis,4,5,1,0,2,93441,462925,325352,454494,113131,755693,556366,779846,868824,3066958,9.27,13.00,14.48,51.12,-3.72,9,1,-8,-223480,12,18,Canada,English,First,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45e88d46cc6fa347e979c,GJP2D,experiment,delta,3,axis,longmire,4,4,1,1,0,309409,536683,129044,535535,57978,460773,846092,664579,518751,2506073,14.10,11.08,8.65,41.77,3.03,8,2,-6,181513,10,20,USA,English,Third,Biomedical & Health Sciences,Male,the first one (linear,
58e45e88d46cc6fa347e979d,MW095,reverse,delta,2,axis,longmire,4,2,1,2,0,194559,238516,188112,432841,76154,466621,433075,620953,542775,2732614,7.22,10.35,9.05,45.54,-3.13,6,3,-3,-187878,9,19,USA,English,First,Biomedical & Health Sciences,Female,the first one (linear,
58e45e88d46cc6fa347e979f,6Z2EO,experiment,delta,2,axis,longmire,3,10,5,8,2,110387,239294,130042,276652,75304,626039,349681,406694,701343,2146217,5.83,6.78,11.69,35.77,-0.95,13,13,0,-57013,28,19,USA,English,Second,Natural Sciences,Female,the second one (triangular),
58e45e88d46cc6fa347e97a0,JL0XP,reverse,delta,3,axis,longmire,5,7,4,9,1,115724,251237,132758,352473,88712,615416,366961,485231,704128,2371378,6.12,8.09,11.74,39.52,-1.97,12,13,1,-118270,26,18,China,Mandarin or Cantonese,First,Social Sciences (incl. CogSci),Female,the second one (triangular),
58e45e88d46cc6fa347e97a4,JCSDC,reverse,delta,3,axis,longmire,5,9,4,6,2,165409,300362,200037,636709,472260,960435,465771,836746,1432695,3259571,7.76,13.95,23.88,54.33,-6.18,14,10,-4,-370975,26,19,USA,English,Second,Engineering,Male,the first one (linear,
58e45e88d46cc6fa347e97a5,9MGOB,reverse,delta,2,longmire,axis,5,7,2,7,1,167727,453144,296409,349969,126848,1165675,620871,646378,1292523,3860306,10.35,10.77,21.54,64.34,-0.43,12,9,-3,-25507,22,21,USA,English,Third,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45e88d46cc6fa347e97a6,ZP8OY,experiment,delta,0,longmire,axis,4,6,1,0,1,150376,432118,267235,370044,142746,553329,582494,637279,696075,2457217,9.71,10.62,11.60,40.95,-0.91,10,1,-9,-54785,12,22,Iraq,Other,Third,Biomedical & Health Sciences,Male,the first one (linear,
58e45e33d46cc6fa347e9060,TA2L5,reverse,echo,3,longmire,axis,4,5,3,5,1,108664,428249,221475,424155,899807,106994,536913,645630,1006801,2385396,8.95,10.76,16.78,39.76,-1.81,9,8,-1,-108717,18,21,USA,English,Fourth,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45e33d46cc6fa347e9061,UOBPQ,reverse,echo,3,longmire,axis,4,6,1,1,0,108371,428223,166751,506336,104932,872878,536594,673087,977810,2377342,8.94,11.22,16.30,39.62,-2.27,10,2,-8,-136493,12,24,mEXICO,Spanish,Fifth,Natural Sciences,Female,the first one (linear,
58e45e33d46cc6fa347e9062,POQNH,reverse,echo,0,longmire,axis,4,8,1,5,2,132110,407387,258584,518476,147056,622498,539497,777060,769554,2239647,8.99,12.95,12.83,37.33,-3.96,12,6,-6,-237563,20,21,USA,Other,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45e33d46cc6fa347e9063,W12ZU,reverse,echo,2,axis,longmire,4,3,2,2,1,163910,356553,337470,603253,597115,118215,520463,940723,715330,2363125,8.67,15.68,11.92,39.39,-7.00,7,4,-3,-420260,12,21,USA,English,Fourth,Biomedical & Health Sciences,Female,the first one (linear,
58e45e33d46cc6fa347e9064,FTX1J,reverse,echo,2,longmire,axis,5,6,1,0,1,139084,446429,176348,379811,364934,642988,585513,556159,1007922,2340290,9.76,9.27,16.80,39.00,0.49,11,1,-10,29354,13,21,China,Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular),
58e45e33d46cc6fa347e9065,UUTZ9,reverse,echo,3,axis,longmire,4,9,5,8,2,161088,321633,140279,411771,156240,765612,482721,552050,921852,2223797,8.05,9.20,15.36,37.06,-1.16,13,13,0,-69329,28,18,USA,Mandarin or Cantonese,First,Engineering,Male,the second one (triangular),
58e45e33d46cc6fa347e9066,AYPYF,reverse,echo,4,longmire,axis,4,5,1,0,1,137955,358705,405651,598965,165208,626354,496660,1004616,791562,2502554,8.28,16.74,13.19,41.71,-8.47,9,1,-8,-507956,11,20,USA,English,Second,Math or Computer Sciences,Male,the first one (linear,
58e45e33d46cc6fa347e9067,UNUPL,reverse,echo,2,axis,longmire,4,8,1,5,2,107661,287586,215480,671074,104298,610540,395247,886554,714838,2203064,6.59,14.78,11.91,36.72,-8.19,12,6,-6,-491307,20,20,Taiwan,Mandarin or Cantonese,Second,Biomedical & Health Sciences,Male,the first one (linear,
58e45e33d46cc6fa347e9068,RGOP0,reverse,echo,0,longmire,axis,5,7,4,8,2,114668,415326,216733,328340,636496,152369,529994,545073,788865,2113749,8.83,9.08,13.15,35.23,-0.25,12,12,0,-15079,26,19,USA,English,First,Engineering,Female,the second one (triangular),
58e45e33d46cc6fa347e9069,78CYG,reverse,echo,3,longmire,axis,4,7,4,6,2,106617,308157,131163,392302,130290,884390,414774,523465,1014680,2127691,6.91,8.72,16.91,35.46,-1.81,11,10,-1,-108691,23,19,USA,English,Second,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45e33d46cc6fa347e906a,WMNAY,experiment,echo,4,axis,longmire,3,5,4,7,2,159028,331220,134985,443985,566574,104189,490248,578970,670763,1946437,8.17,9.65,11.18,32.44,-1.48,8,11,3,-88722,21,22,China,Mandarin or Cantonese,First,Social Sciences (incl. CogSci),Female,the second one (triangular),
58e45e33d46cc6fa347e906b,2JSK2,experiment,echo,2,axis,longmire,4,9,4,10,2,141790,494496,186568,363475,128028,561211,636286,550043,689239,2564704,10.60,9.17,11.49,42.75,1.44,13,14,1,86243,29,20,Brazil,Other,Third,Math or Computer Sciences,Male,the second one (triangular),
58e45e33d46cc6fa347e906c,Z65A1,reverse,echo,4,axis,longmire,4,5,3,8,1,144957,313118,129106,461287,115309,621860,458075,590393,737169,2045305,7.63,9.84,12.29,34.09,-2.21,9,11,2,-132318,21,20,USA,Other,Third,Social Sciences (incl. CogSci),Female,the second one (triangular),
58e45e33d46cc6fa347e906d,WM4OX,reverse,echo,4,longmire,axis,5,8,1,0,2,98111,344385,325172,411145,112472,516238,442496,736317,628710,2050708,7.37,12.27,10.48,34.18,-4.90,13,1,-12,-293821,16,20,USA,English,Second,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45e33d46cc6fa347e906e,9YM1Z,reverse,echo,4,longmire,axis,4,3,0,3,0,93422,338099,112987,161733,835691,75820,431521,274720,911511,1740197,7.19,4.58,15.19,29.00,2.61,7,3,-4,156801,10,21,USA,English,Fourth,Biomedical & Health Sciences,Female,the first one (linear,
58e45e33d46cc6fa347e906f,OOSCB,reverse,echo,3,longmire,axis,5,5,2,4,0,136358,353993,379281,446215,102961,322544,490351,825496,425505,1889229,8.17,13.76,7.09,31.49,-5.59,10,6,-4,-335145,16,21,USA,English,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45e33d46cc6fa347e9070,0T69Q,reverse,echo,2,longmire,axis,4,4,2,0,1,116934,472023,276084,273019,694101,41730,588957,549103,735831,2017643,9.82,9.15,12.26,33.63,0.66,8,2,-6,39854,11,19,Korea,Other,First,Math or Computer Sciences,Male,the first one (linear,
