dbid		experiment	session	condition	lm_scenarios	tm_scenarios	ls_n	lt_n	ts_n	tt_n	d_n	ls_t	lt_t	ts_t	tt_t	d_t	draw_t	totalTime	TOTAL_T_M	LM_T_M	TM_T_M	D_T_M	DIFF_T_M	subject	linear_score	triangular_score	linear_time	triangular_time	score_diff	time_diff	totalScore	AGE	COUNTRY	LANGUAGE	EDUCATION	MAJOR	GENDER	PREFERENCE			
58e45f47d46cc6fa347ea5de		experiment	bravo	2	longmire	axis	4	4	1	0	0	125323	424809	145575	164426	23756	468314	1732827	28.88	9.17	5.17	8.2	4	A5G40	8	1	550132	310001	-7	240131	9	21	China	Mandarin or Cantonese	Fourth	Social Sciences (incl. CogSci)	Male	the first one (linear			
58e45f47d46cc6fa347ea5df		experiment	bravo	2	longmire	axis	3	7	3	8	2	128517	433704	179384	323797	117300	889754	2356673	39.28	9.37	8.39	16.78	0.98	9T9QO	10	11	562221	503181	1	59040	23	21	USA	English	Fourth	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f47d46cc6fa347ea5e0		experiment	bravo	4	longmire	axis	1	4	2	2	0	175773	404722	86533	174383	66724	430818	1638724	27.31	9.67	4.35	8.29	5.33	XDJJL	5	4	580495	260916	-1	319579	9	22	USA	Spanish	Fourth	Humanities	Male	the second one (triangular)			
58e45f47d46cc6fa347ea5e1		reverse	bravo	2	axis	longmire	5	6	5	5	1	150918	320738	203809	527189	185422	979986	2660271	44.34	7.86	12.18	19.42	-4.32	CHZCL	11	10	471656	730998	-1	-259342	22	18	USA	English	First	Biomedical & Health Sciences	Female	the first one (linear			
58e45f47d46cc6fa347ea5e2		experiment	bravo	3	axis	longmire	4	5	5	8	2	132471	364354	177567	281978	84654	591395	1923215	32.05	8.28	7.66	11.27	0.62	AUN52	9	13	496825	459545	4	37280	24	21	China	Mandarin or Cantonese	Fourth	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f47d46cc6fa347ea5e3		reverse	bravo	0	longmire	axis	5	9	2	7	1	122060	387635	400212	675529	109302	740048	2849603	47.49	8.49	17.93	14.16	-9.43	Q3HE8	14	9	509695	1075741	-5	-566046	24	22	China	Mandarin or Cantonese	Fourth	Biomedical & Health Sciences	Female	the first one (linear			
58e45f47d46cc6fa347ea5e4		reverse	bravo	4	longmire	axis	4	5	2	6	0	180853	419872	240103	396366	100835	740646	2632421	43.87	10.01	10.61	14.02	-0.6	DSG2T	9	8	600725	636469	-1	-35744	17	25	USA	English	Fourth	Social Sciences (incl. CogSci)	Female	the second one (triangular)			
58e45f47d46cc6fa347ea5e5		experiment	bravo	0	longmire	axis	3	7	1	0	1	129790	601412	255442	336158	166200	542180	2328840	38.81	12.19	9.86	11.81	2.33	TGAU4	10	1	731202	591600	-9	139602	12	21	USA	Spanish	Fourth	Math or Computer Sciences	Female	the first one (linear			
58e45f47d46cc6fa347ea5e6		reverse	bravo	3	longmire	axis	3	4	3	5	0	111740	382926	196377	323742	59206	503196	1813759	30.23	8.24	8.67	9.37	-0.42	Y7TQD	7	8	494666	520119	1	-25453	15	19	USA	English	Third	Biomedical & Health Sciences	Female	the second one (triangular)			
58e45f47d46cc6fa347ea5e7		experiment	bravo	4	axis	longmire	3	2	0	0	1	105476	141370	47724	94399	31371	683764	1630483	27.17	4.11	2.37	11.92	1.75	K2EGE	5	0	246846	142123	-5	104723	6	18	USA	Spanish	First	Biomedical & Health Sciences	Female	the first one (linear			
58e45f47d46cc6fa347ea5e8		reverse	bravo	3	longmire	axis	4	8	2	5	1	144126	360669	164853	316564	519001	131484	2033550	33.89	8.41	8.02	10.84	0.39	WYGTA	12	7	504795	481417	-5	23378	20	21	USA	English	Third	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f47d46cc6fa347ea5e9		reverse	bravo	2	axis	longmire	5	9	4	7	1	132153	289693	237219	405558	312313	789486	2458631	40.98	7.03	10.71	18.36	-3.68	1592P	14	11	421846	642777	-3	-220931	26	19	China	Mandarin or Cantonese	First	Math or Computer Sciences	Female	the second one (triangular)			
58e45eadd46cc6fa347e9e58		reverse	charlie	4	longmire	axis	5	9	4	9	0	186251	452084	193048	453701	131274	565786	2248985	37.48	10.64	10.78	11.62	-0.14	X6T2E	14	13	638335	646749	-1	-8414	27	18	USA	English	First	Biomedical & Health Sciences	Female	the second one (triangular)			
58e45eadd46cc6fa347e9e59		experiment	charlie	3	longmire	axis	4	9	0	5	1	145373	416336	305176	269125	182103	577811	2432776	40.55	9.36	9.57	12.67	-0.21	1ENZF	13	5	561709	574301	-8	-12592	19	21	USA	Mandarin or Cantonese	Fourth	Biomedical & Health Sciences	Female	the first one (linear			
58e45eadd46cc6fa347e9e5a		reverse	charlie	0	longmire	axis	5	8	1	7	1	113678	399418	313667	431244	505476	42392	2329340	38.82	8.55	12.42	9.13	-3.86	UKKNJ	13	8	513096	744911	-5	-231815	22	19	USA	English	Second	Social Sciences (incl. CogSci)	Male	the first one (linear			
